6090710,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,STRONGLY RECOMMENDED,BRS,,,,,,3,4,3,4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,0.493903,0.585508,0.63142,0.60145,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090712,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,4,1,1,3,3,2,3,4,3,1,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.557693,0.569621,0.578254,0.42174,0.497006,0.450382,0.605578,0.476191,0.679559,0.745857,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090713,23-May-17,Bell Canada,BOROUGH,ONSHORE,56,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,NOT RECOMMENDED,BRS,,,,,,4,4,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0.4,0.461884,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,,,,
6090714,23-May-17,Bell Canada,BOROUGH,ONSHORE,142,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,NOT RECOMMENDED,BRS,,,,,,4,4,4,4,4,,,,,,,,,,,.,.,.,.,.,,,,,,,,,,,0.458763,0.509696,0.512196,0.494062,0.467214,,,,,,,,,,,.,.,.,.,.,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,,
6090716,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,4,3,3,4,3,4,4,2,2,2,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.45055,0.51,0.486548,0.486598,0.502794,0.495653,0.482457,0.646154,0.585186,0.641792,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090740,23-May-17,Bell Canada,BOROUGH,ONSHORE,109,1,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,4,4,4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,0.424391,0.44012,0.428206,0.5,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,,,
6091038,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,61,1,FAIL,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,NOT RECOMMENDED,BRS,,,,,,,4,4,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0.524823,0.43976,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,,,
6091039,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,,4,3,3,1,2,2,2,1,2,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.471761,0.52683,0.517858,0.624698,0.577879,0.572675,0.610295,0.720195,0.700971,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091042,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED,BRS,,,,,,,4,3,4,4,4,4,3,1,2,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.466877,0.491667,0.485194,0.522152,0.477664,0.509434,0.695653,0.693694,0.689796,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091043,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,4,3,4,4,4,4,3,3,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.484508,0.482916,0.486487,0.541255,0.501619,0.59127,0.58209,0.677853,0.708075,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
